Глубина манометра;Dшт;Руст;Pлин;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Pсб;Удельная плотность газа ;G_total;КГФ
3576.3;9.53;233.5;101.3;102.4;58.8;37.6;103.0;38.6;290.59;56.8;45.25;56.5;92.9;0.6694;3.7;288.6
3576.3;11.11;213.4;101.6;100.6;63.6;42.8;102.6;43.4;368.04;56.8;45.25;56.5;91.4;0.6694;4.52;248.79
3576.3;12.7;191.6;98.4;99.0;64.7;46.2;102.0;46.1;434.66;56.8;45.25;56.5;89.2;0.6694;5.22;223.56
3576.3;14.29;171.9;99.2;99.5;64.0;49.4;104.4;49.9;483.28;56.8;45.25;56.5;89.7;0.6694;5.77;215.15
3576.3;9.53;199.5;106.36;106.19;57.5;38.8;102.64;38.98;251.7;56.8;41.22;48.3;90.7;0.675;3.08;241.13
3667.0;7.94;252.0;102.93;101.57;56.0;;105.3;33.0;234.86;57.2;38.74;50.86;100.9;0.66;;188.0
3667.0;9.53;250.0;103.19;103.32;61.0;;105.2;39.06;326.22;57.2;38.74;50.86;100.1;0.66;;178.0
3667.0;11.11;240.0;105.67;105.59;65.0;;105.2;44.9;429.72;57.2;38.74;50.86;102.0;0.66;;169.0
3667.0;12.7;228.0;108.1;108.14;42.0;;105.1;49.84;532.28;57.2;38.74;50.86;103.8;0.66;;162.0
3579.0;7.94;259.61;103.47;101.42;52.0;27.2;105.9;28.09;243.64;62.57;41.23;;93.2;0.66;;230.0
3579.0;9.53;239.42;103.2;104.18;58.0;34.6;105.7;35.1;313.85;62.57;41.23;;92.0;0.66;;201.0
3579.0;11.11;213.43;103.19;103.0;61.0;41.2;105.2;41.11;395.0;62.57;41.23;;93.7;0.66;;172.0
3579.0;12.7;194.24;103.23;103.92;62.0;43.7;104.5;44.14;435.04;62.57;41.23;;89.6;0.66;;157.0
3579.0;14.29;166.0;107.38;107.54;63.0;49.2;103.4;49.75;494.59;62.57;41.23;;90.3;0.66;;141.0
3582.5;9.53;206.0;105.51;105.03;56.0;37.4;104.6;37.79;273.4;62.6;;49.7;92.1;0.67;;172.0
3653.0;7.94;323.1;108.89;99.17;37.0;14.0;105.42;16.2;310.78;63.6;53.27;56.7;99.4;0.654;4.23;385.42
3653.0;9.53;272.69;89.65;86.75;48.0;21.0;105.32;22.03;375.37;63.6;53.27;56.7;99.7;0.654;4.71;295.5
3653.0;12.7;202.15;97.88;92.46;54.0;35.0;105.22;35.41;473.78;63.6;53.27;56.7;99.2;0.654;5.73;255.68
3653.0;14.29;165.85;79.95;81.15;52.0;34.0;105.12;33.83;488.09;63.6;53.27;56.7;98.9;0.654;5.78;233.96
3653.0;15.88;138.87;80.73;79.54;51.0;38.0;105.02;37.26;492.51;63.6;53.27;56.7;100.8;0.654;5.76;223.11
3653.0;14.29;149.89;73.31;72.58;50.0;;100.21;31.99;459.31;63.6;53.27;56.7;97.0;0.654;5.25;199.63
3653.0;11.11;191.41;76.57;76.82;50.0;;102.38;24.8;355.02;63.6;53.27;56.7;98.0;0.654;4.25;245.68
3650.0;7.94;337.11;91.05;89.43;60.0;90.3;105.6;31.18;287.95;63.6;47.33;55.4;89.6;0.6822;3.72;294.59
3650.0;9.53;325.84;97.79;98.18;66.0;95.5;105.49;40.51;402.79;63.6;47.33;55.4;85.5;0.6822;5.17;282.24
3650.0;12.7;299.56;103.11;105.98;74.0;103.6;105.47;51.38;654.56;63.6;47.33;55.4;93.8;0.6822;8.4;280.56
3650.0;14.29;280.33;107.06;106.77;75.0;106.8;105.42;52.76;742.11;63.6;47.33;55.4;92.3;0.6822;9.64;292.24
3650.0;15.87;256.21;109.78;109.39;75.0;110.2;105.36;55.51;846.82;63.6;47.33;55.4;87.7;0.6822;10.93;284.08
3650.0;14.29;271.47;108.63;108.64;74.0;;105.35;53.13;720.27;63.6;47.33;55.4;96.3;0.6822;9.33;289.18
3650.0;11.11;297.68;100.13;102.25;70.0;;105.37;44.88;497.16;63.6;47.33;55.4;88.2;0.6822;6.42;287.52
3653.0;9.53;298.57;111.38;111.61;64.0;32.0;104.42;42.44;366.22;63.6;43.4;54.9;88.8;0.684;4.59;254.84
3653.0;11.11;285.65;121.68;123.62;68.0;36.0;104.42;49.18;470.29;63.6;43.4;54.9;87.4;0.684;5.83;243.23
;14.29;221.8;107.56;106.77;69.0;;;52.22;601.5;63.6;;;90.8;0.6847;7.28;219.04
